question,answer,generated_answer
<MedVQA>What is visible in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is visible in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is visible in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is visible in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is visible in the image?,Biopsy forceps,The instrument used in the procedure is a tube.
<MedVQA>What is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is visible in the image?,"The color of the abnormality is red, pink, brown and white.",The color of the abnormality is pink.
<MedVQA>What is visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is visible in the image?,A single instrument is used.,One instrument is used in the procedure.
<MedVQA>What is visible in the image?,Paris IIA,A Paris IIa type polyp
<MedVQA>What is visible in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the image?,A polyp.,A polyp
<MedVQA>What is visible in the image?,The colour of the artefact is green/black.,The artefact is green/black.
<MedVQA>What is visible in the image?,"The anatomical landmark is located in the center, center-right, upper-right, lower-center and lower-right positions.","The anatomical landmark is located in the center, center-right, upper-center, and upper-right."
<MedVQA>What is visible in the image?,The abnormality is located in the center and upper-center of the image.,The abnormality is located in the center and upper-center of the image.
<MedVQA>What is visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the number of instruments present in the image?,One,There is 1 instrument.
<MedVQA>What is the number of instruments present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the number of instruments present in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the number of instruments present in the image?,The z-line,The z-line is visible in the image.
<MedVQA>What is the number of instruments present in the image?,Gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the number of instruments present in the image?,A tube,A tube
<MedVQA>What is the number of instruments present in the image?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is the number of instruments present in the image?,There is 1 polyp,There is 1 polyp.
<MedVQA>What is the number of instruments present in the image?,The abnormality appears pink and red in color.,The abnormality appears pink and red in color.
<MedVQA>What is the number of instruments present in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the number of instruments present in the image?,"The abnormality has a pink, red, and white color.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the number of instruments present in the image?,There are 2 findings.,There are 2 findings in the image.
<MedVQA>What is the number of instruments present in the image?,No instruments are present.,There are no instruments present in the image.
<MedVQA>What is the number of instruments present in the image?,"No, the image does not contain text.","No, the image does not contain any text."
<MedVQA>What is the number of instruments present in the image?,The abnormality is located in the center.,The abnormality is located in the center.
<MedVQA>What is the number of instruments present in the image?,Colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of instruments present in the image?,1,There is 1 polyp.
<MedVQA>What is the number of instruments present in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the number of instruments present in the image?,There are no instruments in the image.,There are no instruments in the image.
<MedVQA>What is the number of instruments present in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-left and lower-right."
<MedVQA>What is the location of the abnormality in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,The polyp is 11-20mm in size.,The polyp is approximately 11-20mm in size.
<MedVQA>What is the location of the abnormality in the image?,The image does not contain any text.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the location of the abnormality in the image?,"The abnormality is colored pink, red, and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the location of the abnormality in the image?,The polyp is greater than 20mm in size.,The polyp is approximately 11-20mm in size.
<MedVQA>What is the location of the abnormality in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,"The image shows a z-line, indicating that it is an image from an esophageal procedure.",A gastroscopy procedure
<MedVQA>What is the location of the abnormality in the image?,No,"No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,The size of the polyp is 11-20mm.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the location of the abnormality in the image?,Endoscopy,A colonoscopy procedure
<MedVQA>What is the location of the abnormality in the image?,A polyp,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the location of the abnormality in the image?,A polyp,A polyp
<MedVQA>What is the location of the abnormality in the image?,"No, the image does not contain any text.","No, the image does not contain any text."
<MedVQA>What type of polyp is present?,A Paris-type polyp is present.,A Paris IIa type polyp is present.
<MedVQA>What type of polyp is present?,"The color of the abnormality is pink, red, and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of polyp is present?,Yes,"Yes, the image contains text."
<MedVQA>What type of polyp is present?,Paris,Paris IIA
<MedVQA>What type of polyp is present?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What type of polyp is present?,"The colors of the abnormality are pink, white, red, and green.",The abnormality in the image has a pink and white color.
<MedVQA>What type of polyp is present?,A polyp.,There are no instruments visible in the image.
<MedVQA>What type of polyp is present?,The polyp is greater than 20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What type of polyp is present?,There are no polyps.,There are no polyps.
<MedVQA>What type of polyp is present?,There are no polyps.,There are no polyps.
<MedVQA>What type of polyp is present?,"No, there are no instruments.","No, there is no instrument in the image."
<MedVQA>What type of polyp is present?,Oesophagitis,Oesophagitis
<MedVQA>What type of polyp is present?,There are no polyps.,There are no polyps.
<MedVQA>What type of polyp is present?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left and lower-center.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What type of polyp is present?,The box artefact is green/black.,The box artefact is green/black.
<MedVQA>What type of polyp is present?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of polyp is present?,There are 2 findings visible in the image.,There are 2 findings visible in the image.
<MedVQA>What type of polyp is present?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of polyp is present?,There were no findings.,No findings were detected.
<MedVQA>What type of polyp is present?,2,There are 2 findings.
<MedVQA>What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the location of the abnormality in the image?,"The instruments are located in the center, upper-left and center-left regions.","The instruments are located in the center, upper-left, center-right, and upper-center of the image."
<MedVQA>What is the location of the abnormality in the image?,A polyp snare procedure,Polyp snare
<MedVQA>What is the location of the abnormality in the image?,"There are no instruments present in the image, indicating that it is likely a diagnostic endoscopy procedure.",A colonoscopy procedure
<MedVQA>What is the location of the abnormality in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,"The abnormality has an abnormal color pattern with red, pink, and white hues.",The abnormality appears pink and red in color.
<MedVQA>What is the location of the abnormality in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the location of the abnormality in the image?,"The abnormality has a pink, red, and white color.","The abnormality is pink, red, and white in color."
<MedVQA>What is the location of the abnormality in the image?,A Paris IIa type polyp,A Paris IIa type polyp is present.
<MedVQA>What is the location of the abnormality in the image?,"The abnormality has a pink, red, and white color.","The abnormality in the image is pink, red, and white."
<MedVQA>What is the location of the abnormality in the image?,No,"No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality has a pink, red, and white coloration."
<MedVQA>What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, center-left, and upper-center.",The abnormality is located in the center and upper-left.
<MedVQA>What is the location of the abnormality in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the location of the abnormality in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality in the image?,1,There is 1 polyp.
<MedVQA>What is the location of the abnormality in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the location of the abnormality in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the location of the abnormality in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the instrument seen in the image?,A biopsy forceps,The instrument seen in the image is a tube.
<MedVQA>What is the instrument seen in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the instrument seen in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the instrument seen in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the instrument seen in the image?,"The color of the abnormality is pink, red, and white.","The abnormality is pink, red, and white in color."
<MedVQA>What is the instrument seen in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the instrument seen in the image?,"An abnormality with the colors pink, yellow, and burgundy is visible.","An abnormality with pink, red, and yellow colors."
<MedVQA>What is the instrument seen in the image?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, lower-center and lower-left.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What is the instrument seen in the image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the instrument seen in the image?,A tube.,A tube
<MedVQA>What is the instrument seen in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the instrument seen in the image?,"The abnormality in the image has colors of pink, red, and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the instrument seen in the image?,The abnormality appears to have colors of red and pink.,The abnormality has a pink color.
<MedVQA>What is the instrument seen in the image?,"The color of the abnormality is pink, red and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the instrument seen in the image?,"The abnormality is located in the center, lower-right, center-right, and lower-center part of the area.","The abnormality is located in the center, lower-right, center-right and lower-center."
<MedVQA>What is the instrument seen in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the instrument seen in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the instrument seen in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the instrument seen in the image?,There are no polyps in the image.,There are no polyps.
<MedVQA>What is the instrument seen in the image?,Oesophagitis,Oesophagitis
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>What type of medical procedure is shown in the image?,"No, the image does not contain any text.","No, the image does not contain any text."
<MedVQA>What type of medical procedure is shown in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What type of medical procedure is shown in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of medical procedure is shown in the image?,A polyp is seen in the image.,There are no instruments visible in the image.
<MedVQA>What type of medical procedure is shown in the image?,There are no polyps.,There are no polyps.
<MedVQA>What type of medical procedure is shown in the image?,The abnormality is pink and white in color.,The color of the abnormality is pink.
<MedVQA>What type of medical procedure is shown in the image?,The abnormality is pink and white.,"The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of medical procedure is shown in the image?,Polyp snare and tube procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of medical procedure is shown in the image?,The procedure shown in the image is a colonoscopy.,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower left, lower right, center-left and center-right."
<MedVQA>What type of medical procedure is shown in the image?,A Paris-type polyp,A Paris type polyp
<MedVQA>What type of medical procedure is shown in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What type of medical procedure is shown in the image?,Oesophagitis,Oesophagitis
<MedVQA>What type of medical procedure is shown in the image?,"The color of the abnormality is pink, red, and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of medical procedure is shown in the image?,A Paris IP type polyp,A Paris IP type polyp
<MedVQA>What type of medical procedure is shown in the image?,Yes,"Yes, the image contains text."
<MedVQA>What type of medical procedure is shown in the image?,The color of the box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>Is there text in the image?,Yes,"Yes, the image contains text."
<MedVQA>Is there text in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there text in the image?,The procedure shows no polyps.,The procedure shows no findings.
<MedVQA>Is there text in the image?,There is no instrumentation visible.,There are no instruments visible in the image.
<MedVQA>Is there text in the image?,"The anatomical landmark is located at the center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left, and lower-right.","The anatomical landmark is located in the center, center-left, upper-center, and upper-right areas."
<MedVQA>Is there text in the image?,The patient has no findings,No findings were detected.
<MedVQA>Is there text in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>Is there text in the image?,A green/black box artefact is present.,A green/black box artefact
<MedVQA>Is there text in the image?,The polyp is approximately 5-10mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>Is there text in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>Is there text in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>Is there text in the image?,A colonoscopy,A colonoscopy procedure
<MedVQA>Is there text in the image?,The abnormality is white and pink in color.,The abnormality appears pink and white in color.
<MedVQA>Is there text in the image?,Yes,"Yes, the image contains text."
<MedVQA>Is there text in the image?,No,"No, the image does not contain a green/black box artefact."
<MedVQA>Is there text in the image?,"The abnormality in the image has colors pink, red, and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>Is there text in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>Is there text in the image?,There are no polyps.,There are no polyps.
<MedVQA>Is there text in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>Is there text in the image?,Yes,"Yes, the image contains text."
<MedVQA>What type of artefact is present in the image?,A green/black box artefact is present in the image.,A green/black box artefact
<MedVQA>What type of artefact is present in the image?,Yes,"Yes, the image contains text."
<MedVQA>What type of artefact is present in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What type of artefact is present in the image?,A colonoscopy,A colonoscopy procedure
<MedVQA>What type of artefact is present in the image?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What type of artefact is present in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of artefact is present in the image?,Paris IP,A Paris IP type polyp is present.
<MedVQA>What type of artefact is present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of artefact is present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of artefact is present in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What type of artefact is present in the image?,The abnormality in the image appears pink and red in color.,"The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of artefact is present in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What type of artefact is present in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of artefact is present in the image?,The size of the polyp is greater than 20mm.,The polyp is approximately 5-10mm in size.
<MedVQA>What type of artefact is present in the image?,The instrument is located in the lower-right part of the image.,The instrument is located in the lower-right and lower-center of the image.
<MedVQA>What type of artefact is present in the image?,There is 1 polyp present.,There is 1 polyp.
<MedVQA>What type of artefact is present in the image?,"No, there is no green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of artefact is present in the image?,No,"No, the image does not contain any text."
<MedVQA>What type of artefact is present in the image?,"The abnormality is located in the center, upper-right, lower-right, center-right, upper-center, and lower-center regions of the image.",The abnormality is located in the center and lower-center of the image.
<MedVQA>What type of artefact is present in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the size of the polyp?,The polyp is approximately 5-10mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the size of the polyp?,1,There is 1 finding.
<MedVQA>What is the size of the polyp?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What is the size of the polyp?,The box artefact is green/black,The box artefact is green/black.
<MedVQA>What is the size of the polyp?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the size of the polyp?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the size of the polyp?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the size of the polyp?,The oesophagus shows signs of oesophagitis.,Oesophagitis
<MedVQA>What is the size of the polyp?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>What is the size of the polyp?,The abnormality is located in the lower-right.,The abnormality is located in the lower-right.
<MedVQA>What is the size of the polyp?,Yes,"Yes, the image contains text."
<MedVQA>What is the size of the polyp?,There are no polyps.,There are no polyps.
<MedVQA>What is the size of the polyp?,One instrument is present in the image.,One instrument is present in the image.
<MedVQA>What is the size of the polyp?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is the size of the polyp?,"An abnormality is located in multiple areas, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","An abnormality with pink, red, and white colors is visible in the image."
<MedVQA>What is the size of the polyp?,"The color of the abnormality is pink, red and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the size of the polyp?,There are no polyps.,There are no polyps.
<MedVQA>What is the size of the polyp?,Paris IIA,A Paris IP type polyp
<MedVQA>What is the size of the polyp?,A colonoscopy procedure.,A colonoscopy procedure
<MedVQA>What is the size of the polyp?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the type of procedure shown in the image?,The procedure shown in the image is endoscopy.,A colonoscopy procedure
<MedVQA>What is the type of procedure shown in the image?,"Three instruments are located in the upper-left, center-left, and lower-center positions.","The instruments visible in the image are located at the center, upper-left, and lower-center."
<MedVQA>What is the type of procedure shown in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the type of procedure shown in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What is the type of procedure shown in the image?,A tube,A tube
<MedVQA>What is the type of procedure shown in the image?,A tube,A tube
<MedVQA>What is the type of procedure shown in the image?,No instruments are present.,There are no instruments present in the image.
<MedVQA>What is the type of procedure shown in the image?,Three findings,There are 2 findings in the image.
<MedVQA>What is the type of procedure shown in the image?,A Paris IP type polyp is present.,A Paris IP type polyp is present.
<MedVQA>What is the type of procedure shown in the image?,No,"No, the image does not contain any text."
<MedVQA>What is the type of procedure shown in the image?,A Paris IIa polyp,A Paris IIa type polyp
<MedVQA>What is the type of procedure shown in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the type of procedure shown in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the type of procedure shown in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the type of procedure shown in the image?,The color of the abnormality is pink.,The color of the abnormality is pink and white.
<MedVQA>What is the type of procedure shown in the image?,"The abnormality is located in the center, center-left, center-right, upper-center, and lower-center.","The abnormality is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is the type of procedure shown in the image?,A tube is present.,A tube
<MedVQA>What is the type of procedure shown in the image?,The polyp is approximately 11-20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the type of procedure shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the type of procedure shown in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the number of findings in the image?,The polyp is approximately 11-20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the number of findings in the image?,There are no instruments visible.,There are no instruments visible in the procedure.
<MedVQA>What is the number of findings in the image?,The colon is polyp-free.,The colon is polyp-free.
<MedVQA>What is the number of findings in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the number of findings in the image?,The image does not contain any text.,The image does not contain any text.
<MedVQA>What is the number of findings in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the number of findings in the image?,The color of the box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What is the number of findings in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,"The color of the abnormality is pink, white and yellow.","The abnormality in the image has colors pink, yellow, and white."
<MedVQA>What is the number of findings in the image?,"The anatomical landmarks located in the center, center-left, upper-right, lower-center, and lower-left are visible in the image.","The anatomical landmarks visible in the image are located in the center, center-left, upper-center, and upper-right."
<MedVQA>What is the number of findings in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the number of findings in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,There are 2 findings in this image.,There are 2 findings.
<MedVQA>What is the number of findings in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the number of findings in the image?,Biopsy procedure,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center.","The detected abnormality is located in the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,There are 2 findings.,There are 2 findings visible in the image.
<MedVQA>What type of medical procedure is shown in the image?,Yes,"Yes, the image contains text."
<MedVQA>What type of medical procedure is shown in the image?,"The colon is normal, with no polyps detected.",The colon is normal with no polyps.
<MedVQA>What type of medical procedure is shown in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What type of medical procedure is shown in the image?,There are no instruments.,There are no instruments in the image.
<MedVQA>What type of medical procedure is shown in the image?,Paris IP,A Paris IP type polyp is present.
<MedVQA>What type of medical procedure is shown in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What type of medical procedure is shown in the image?,Yes,"Yes, the image contains text."
<MedVQA>What type of medical procedure is shown in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of medical procedure is shown in the image?,The abnormality has a characteristic pink and purple color.,The abnormality has a pink and red coloration.
<MedVQA>What type of medical procedure is shown in the image?,The colon is normal and does not show any polyps.,The colon is normal with no polyps.
<MedVQA>What type of medical procedure is shown in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of medical procedure is shown in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
