caption,Q,A
Generate an image with an an anatomical landmark located in the center and upper-center.,What is the location of the anatomical landmark?,The anatomical landmark is located in the center and upper-center.
Generate an image containing oesophagitis.,What is the condition depicted in this image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,A z-line is visible in the image.
Generate an image with 2 findings.,How many findings are there in the endoscopy procedure?,There are 2 findings.
Generate an image with no instruments.,What is visible in the endoscopy image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,Is there any text in the image?,"No, the image does not contain any text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the appearance of the abnormality in the image?,"The abnormality has a pink, red, and white appearance."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in this image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right and upper-center.",What anatomical landmark is shown in the image?,"The anatomical landmark is located in the center, center-left, center-right, and upper-center of the image."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings present?,There is 1 finding.
Generate an image with no instruments.,What is shown in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the colour of the box artefact?,The box artefact is green/black.
Generate an image not containing text.,What type of image is this?,This is an image without any text.
Generate an image with an abnormality with the colors pink and red.,What is the color of the abnormality?,The abnormality is pink and red in color.
Generate an image from a colonoscopy procedure.,What type of procedure is being performed?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing tube.,What type of procedure is being performed?,Endoscopy
Generate an image with no findings.,What is the diagnosis of the patient?,The patient has no findings.
Generate an image with 1 instrument.,What is the number of instruments present in the image?,1 instrument
Generate an image with no polyps.,What is the presence of polyps in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The color of the box artefact is green/black.
Generate an image containing text.,Is there text in the image?,"Yes, there is text in the image."
Generate an image from a colonoscopy procedure.,What is the procedure shown in the image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-left, center-left and lower-center.",In which locations are the instruments found in the image?,"The instruments are located in the center, upper-left, and center-left as well as lower-center positions."
Generate an image containing ulcerative colitis.,What is the condition shown in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings present in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the status of the polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free from any artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, yellow and white.",What is the color of the abnormality in the image?,"The color of the abnormality is pink, yellow, and white."
Generate an image from a colonoscopy procedure.,What type of procedure is this?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing tube.,What is the type of procedure shown in the image?,The image is from an endoscopy procedure.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with 1 instrument.,How many instruments are present in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the presence of polyps in the endoscopic image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
Generate an image from a colonoscopy procedure.,What is the type of procedure depicted in this image?,a colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-right and center-right.",What is the position of the instrument in the image?,"The instrument is located in the center, upper-right, and center-right positions."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,A Z-line is visible.
Generate an image with 2 findings.,How many findings are there in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What instruments are visible in the image?,No instruments are visible.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The color of the box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality is pink, red, and white in color."
Generate an image from a gastroscopy procedure.,What type of procedure is being performed on the patient?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, upper-center and lower-left.",What anatomical landmarks are visible in the image?,"The anatomical landmarks visible in the image are located in the center, upper-center, and lower-left."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image containing tube.,What is the present in the image?,A tube
Generate an image with 2 findings.,How many findings are present in the image?,Two
Generate an image with 1 instrument.,What instrument is present in the image?,There is one instrument in the image.
Generate an image with 1 polyp.,What is the count of polyps in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the abnormality in the image?,The abnormality is green/black.
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors red, pink and yellow.",What is the appearance of the abnormality in the image?,"The abnormality has red, pink, and yellow colors."
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is approximately 11-20mm in size.
Generate a polyp of type paris ip.,What type of polyp is present in the image?,A Paris IP type polyp
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in the image?,A colonoscopy procedure
Generate an image with an an abnormality located in the center and lower-center.,What is the location of the abnormality in the image?,The abnormality is located in the center and lower-center of the image.
Generate an image with an an instrument located in the lower-right and lower-center.,What is the location of the instrument in the image?,The instrument is located in the lower-right and lower-center part of the image.
Generate an image containing oesophagitis.,What is the condition observed in the esophagus?,Oesophagitis
Generate an image with 1 finding.,How many findings are visible in the image?,1
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the condition of the patient's digestive tract?,The patient's digestive tract is polyp-free.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,No
Generate an image not containing text.,What is visible in the image?,There is no text in the image.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The color of the abnormality is pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in multiple regions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments in the image.
Generate an image with no polyps.,What is the status of the patient's colon?,The colon is normal and free of polyps.
Generate an image not containing a green/black box artefact.,Is the image free from green/black box artifacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, there is text in the image."
"Generate an image with an abnormality with the colors pink, red and white.",What is the characteristic of the abnormality?,"The abnormality has pink, red, and white colors."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution pattern of the abnormality in the image?,"The abnormality is located in multiple regions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing tube.,What is the main object visible in the image?,a tube
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the endoscopy image free of box artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, there is text in the image."
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-left, center-left and upper-center.",Where are the instruments located in the image?,"The instruments are located in the center, upper-left and center-left regions."
Generate an image containing a polyp.,What is present in the image?,A polyp is present.
Generate an image containing polyp snareandtube.,What type of procedure is being performed?,Polyp snare
Generate an image with 2 findings.,How many findings are present in the image?,2
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,1 instrument
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, white and yellow.",What is the color of the abnormality in the image?,"The abnormality has a pink, white, and yellow color."
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is 5-10mm.
Generate a polyp of type paris ip.,What type of polyp is present?,A Paris IP type polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,Colonoscopy
Generate an image with an an abnormality located in the center.,What is the location of the abnormality?,The abnormality is located in the center.
"Generate an image with an an instrument located in the center, lower-right and lower-center.",What instruments are visible in the image?,"The instruments located in the image are in the center, lower-right and lower-center."
Generate an image containing oesophagitis.,What is the condition observed in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are present in the image?,2
Generate an image with no instruments.,What instruments are visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon is polyp-free.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,Does the image contain any text?,"No, the image does not contain any text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality?,"The abnormality is pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in this image?,A gastroscopy procedure.
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center."
"Generate an image with an an anatomical landmark located in the center-left, center-right, upper-center, upper-left, upper-right, lower-center and lower-rigth.",What is the distribution of the anatomical landmark in the image?,"The anatomical landmark is located in the center-left, center-right, upper-center, upper-left, upper-right, lower-center, and lower-right positions."
Generate an image containing ulcerative colitis.,What is the condition depicted in this image?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are there in the image?,There is 1 finding.
Generate an image with no instruments.,What instruments can be seen in this endoscopy image?,There are no instruments visible in this image.
Generate an image with no polyps.,What is the condition of the colon in the image?,"The colon is normal, with no polyps detected."
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality has pink, red, and white colors."
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center regions."
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are visible in the image?,1 polyp
Generate an image containing a green/black box artefact.,What is visible in the image?,A green/black box artefact is visible.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and white.,What is the color of the abnormality in the image?,The color of the abnormality is pink and white.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is approximately 11-20mm in size.
Generate a polyp of type paris iia.,What type of polyp is present?,Paris II A
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,Colonoscopy
"Generate an image with an an abnormality located in the center, upper-right, lower-right, center-right and upper-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-right, lower-right, center-right, and upper-center areas."
Generate an image containing ulcerative colitis.,What is the diagnosis based on the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with no instruments.,What kind of endoscopy procedure does the image show?,The image shows a procedure with no instruments.
Generate an image with no polyps.,What is the presence of polyps in this image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free from a green/black box artifact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality?,"The abnormality is pink, red and white in color."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,Colonoscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located at multiple positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is the focus of the procedure?,A polyp
Generate an image with 1 finding.,What is the number of findings present in the image?,There is 1 finding.
Generate an image with no instruments.,What is the status of instruments in the image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,No
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors red, pink and white.",What is the color of the abnormality in the image?,"The abnormality has red, pink, and white colors."
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is approximately 11-20mm in size.
Generate a polyp of type paris ip.,What type of polyp is visible in the image?,A Paris IP type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, center-left and upper-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, center-left, and upper-center."
Generate an image containing tube.,What is the type of procedure shown in the image?,The procedure shown in the image is endoscopy.
Generate an image with 1 finding.,How many findings are visible in the image?,There is 1 finding.
Generate an image with 1 instrument.,How many instruments are visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps in the image.
Generate an image not containing a green/black box artefact.,Is the image free from artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text visible in the image?,"Yes, there is text in the image."
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in the image?,A colonoscopy
"Generate an image with an an instrument located in the center, upper-left and center-left.",What is the location of the instrument in this image?,"The instrument is located in the center, upper-left and center-left."
Generate an image containing a polyp.,What is the presence of in the image?,A polyp.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the endoscopy image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are seen in this image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,No
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What can be observed in the image?,An abnormality with characteristic pink and red colors.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris iia.,What type of polyp is shown in the image?,The polyp is of type Paris IIa.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an abnormality located in the lower-right and center-right.,What is the location of the abnormality in the image?,The abnormality is located in the lower-right and center-right parts of the image.
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are visible in the image?,There is 1 finding.
Generate an image with no instruments.,What is the status of the instruments in the image?,No instruments are visible.
Generate an image with no polyps.,What can be observed in the endoscopy image?,The image shows no polyps.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, there is no green/black box artefact in the image."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the appearance of the abnormality in the image?,The abnormality appears pink and red in color.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, as well as in the upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings present in the image.
Generate an image with no instruments.,What is visible in the image?,The image shows no instruments.
Generate an image with no polyps.,What is the condition of the patient's colon?,The patient's colon is normal.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, there is no green/black box artefact in the image."
Generate an image not containing text.,What is the content of the image?,The image does not contain any text.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality is pink, red, and white in color."
Generate an image from a gastroscopy procedure.,What type of procedure is being performed?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right and upper-center.",What are the locations of the anatomical landmark in the image?,"The anatomical landmark is located at the center, center-left, center-right, and upper-center."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is the status of the endoscopy procedure in the image?,The procedure has no instruments
Generate an image with no polyps.,Is there any polyp present in the image?,"No, there are no polyps."
Generate an image not containing a green/black box artefact.,Does the image show any artefacts?,"No, the image does not contain any green/black box artefacts."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the color of the abnormality in the image?,The abnormality in the image is pink and red
Generate an image from a colonoscopy procedure.,What type of procedure is shown in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What type of abnormality is present in the image?,"The image shows multiple abnormalities located at various positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing tube.,What is the object visible in the image?,a tube
Generate an image with no findings.,What is the result of the endoscopy procedure?,The procedure shows no findings.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,What is present in the image?,There is no green/black box artefact visible.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is being performed?,A colonoscopy
"Generate an image with an an instrument located in the center, upper-left, lower-left and upper-center.",What is the orientation of the instruments in the image?,"The instruments are located in the center, upper-left, lower-left, and upper-center."
Generate an image containing ulcerative colitis.,What is the diagnosis?,Ulcerative colitis
Generate an image containing the cecum.,What is the location of the structure visible in the image?,The cecum
Generate an image with 1 finding.,What is the number of findings present in the image?,1
Generate an image with no instruments.,What is the current state of the endoscopic procedure?,The procedure is currently without instruments.
Generate an image with no polyps.,Is there any polyp present in the endoscopy image?,"No, there are no polyps."
Generate an image containing a green/black box artefact.,What is the color of the box-like artefact in the image?,The box-like artefact is green/black in color.
Generate an image containing text.,Is there text present in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the appearance of the abnormality?,The abnormality appears with pink and red colors.
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image with an an anatomical landmark located in the upper-center and upper-right.,What is the location of the anatomical landmark?,The anatomical landmark is located in the upper-center and upper-right.
Generate an image containing tube.,What is the object visible in the image?,A tube is visible in the image.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon is polyp-free.
Generate an image containing a green/black box artefact.,What is the color of the artefact?,The artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an instrument located in the upper-left and upper-center.,What is the location of the instrument in the image?,The instrument is located in the upper-left and upper-center.
Generate an image containing oesophagitis.,What is the condition depicted in the image?,Oesophagitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with no instruments.,What instruments are visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the condition of the patient's digestive tract?,The patient's digestive tract is polyp-free.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,No
Generate an image not containing text.,What does the image show?,The image does not contain any text.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality is colored pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in this image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,No
Generate an image containing text.,Is there any text present in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors white, pink and yellow.",What type of abnormality is present in the image?,"A polyp with colors white, pink, and yellow"
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris iia.,What type of polyp is present in the image?,The polyp present in the image is of type Paris IIa.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, lower-left, center-left and lower-center.",What is the location of the abnormalities in the image?,"The abnormalities are located in the center, lower-left, center-left, and lower-center."
Generate an image containing oesophagitis.,What is the condition depicted in the image?,Oesophagitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is the condition of the instruments in the procedure?,There are no instruments present.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image affected by green/black box artefact?,No
Generate an image not containing text.,Is there any text in the image?,"No, the image does not contain text."
"Generate an image with an abnormality with the colors pink, red, white and brown.",What is the color of the abnormality?,"The abnormality is pink, red, white, and brown."
Generate an image from a gastroscopy procedure.,What type of procedure is being performed in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",Where is the abnormality located in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is depicted in the image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments present.
Generate an image with 1 polyp.,How many polyps are visible in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image free from any artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
